id	description	age_determinations	due_to_s_expression
Display medical guidance for Hearing symptoms	Display medical guidance for Hearing symptoms	{adult}	"(active_condition (snomed_concept ""Hearing symptoms"" ""finding"") possible)"
Display medical guidance for Heartburn	Display medical guidance for Heartburn	{adult}	"(active_condition (snomed_concept ""Heartburn"" ""finding"") possible)"
Display medical guidance for Pain, chronic	Display medical guidance for Pain, chronic	{adult}	"(active_condition (snomed_concept ""Chronic pain"" ""finding"") possible)"
Display medical guidance for Pallor	Display medical guidance for Pallor	{adult}	"(active_condition (snomed_concept ""Pale complexion"" ""finding"") possible)"
Display medical guidance for Pimples	Display medical guidance for Pimples	{adult}	"(active_condition (snomed_concept ""Pimple"" ""morphologic abnormality"") possible)"
Display medical guidance for Injured patient	Display medical guidance for Injured patient	{adult}	"(active_condition (snomed_concept ""Traumatic or non-traumatic injury"" ""disorder"") possible)"
Display medical guidance for Itch	Display medical guidance for Itch	{adult}	"(active_condition (snomed_concept ""Itching"" ""finding"") possible)"
Display medical guidance for Rape	Display medical guidance for Rape	{adult}	"(active_condition (snomed_concept ""Victim of rape"" ""finding"") possible)"
Display medical guidance for Rash	Display medical guidance for Rash	{adult}	"(active_condition (snomed_concept ""Eruption of skin"" ""disorder"") possible)"
Display medical guidance for Respiratory arrest	Display medical guidance for Respiratory arrest	{adult}	"(active_condition (snomed_concept ""Respiratory arrest"" ""disorder"") possible)"
Display medical guidance for Jaundice	Display medical guidance for Jaundice	{adult}	"(active_condition (snomed_concept ""Jaundice"" ""finding"") possible)"
Display medical guidance for Joint symptoms	Display medical guidance for Joint symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Joint structure"" ""body structure"")))"
Display medical guidance for Leg symptoms	Display medical guidance for Leg symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure"")))"
Display medical guidance for Groin mass	Display medical guidance for Groin mass	{adult}	"(active_condition (snomed_concept ""Groin mass"" ""finding"") possible)"
Display medical guidance for Mass of axilla	Display medical guidance for Mass of axilla	{adult}	"(active_condition (snomed_concept ""Mass of axilla"" ""finding"") possible)"
Display medical guidance for Mass of neck	Display medical guidance for Mass of neck	{adult}	"(active_condition (snomed_concept ""Mass of neck"" ""finding"") possible)"
Display medical guidance for Scalp symptoms	Display medical guidance for Scalp symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Scalp structure"" ""body structure"")))"
Display medical guidance for Scrotal symptoms	Display medical guidance for Scrotal symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Scrotal structure"" ""body structure"")))"
Display medical guidance for Seizures	Display medical guidance for Seizures	{adult}	"(active_condition (snomed_concept ""Seizure related finding"" ""finding"") possible)"
Display medical guidance for Self-harm	Display medical guidance for Self-harm	{adult}	"(active_condition (snomed_concept ""Self-injurious behavior"" ""finding"") possible)"
Display medical guidance for Sexual problems	Display medical guidance for Sexual problems	{adult}	"(active_condition (snomed_concept ""Sexuality related problem"" ""finding"") possible)"
Display medical guidance for Sexually transmitted infections	Display medical guidance for Sexually transmitted infections	{adult}	"(active_condition (snomed_concept ""Sexually transmitted infectious disease"" ""disorder"") possible)"
Display medical guidance for Skin symptoms	Display medical guidance for Skin symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Skin structure"" ""body structure"")))"
Display medical guidance for Sleeping difficulty	Display medical guidance for Sleeping difficulty	{adult}	"(active_condition (snomed_concept ""Difficulty sleeping"" ""finding"") possible)"
Display medical guidance for Smoking	Display medical guidance for Smoking	{adult}	"(active_condition (snomed_concept ""Finding of tobacco smoking behavior"" ""finding"") possible)"
Display medical guidance for Stings	Display medical guidance for Stings	{adult}	"(active_condition (snomed_concept ""Sting"" ""morphologic abnormality"") possible)"
Display medical guidance for Stress	Display medical guidance for Stress	{adult}	"(active_condition (snomed_concept ""Stress"" ""finding"") possible)"
Display medical guidance for Suicidal patient	Display medical guidance for Suicidal patient	{adult}	"(active_condition (snomed_concept ""Suicidal"" ""finding"") possible)"
Display medical guidance for Syphilis	Display medical guidance for Syphilis	{adult}	"(active_condition (snomed_concept ""Syphilis"" ""disorder"") possible)"
Display medical guidance for Tasting difficulty	Display medical guidance for Tasting difficulty	{adult}	"(active_condition (snomed_concept ""Finding of sense of taste"" ""finding"") possible)"
Display medical guidance for Teeth symptoms	Display medical guidance for Teeth symptoms	{adult}	"(active_condition (snomed_concept ""Tooth symptoms"" ""finding"") possible)"
Display medical guidance for Throat symptoms	Display medical guidance for Throat symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Structure of internal nose and/or pharynx and/or larynx"" ""body structure"")))"
Display medical guidance for Ulcer, genital	Display medical guidance for Ulcer, genital	{adult}	"(active_condition (snomed_concept ""Ulceration of genital organ"" ""disorder"") possible)"
Display medical guidance for Ulcer, skin	Display medical guidance for Ulcer, skin	{adult}	"(active_condition (snomed_concept ""Skin ulcer"" ""disorder"") possible)"
Display medical guidance for Unconscious patient	Display medical guidance for Unconscious patient	{adult}	"(active_condition (snomed_concept ""Unconscious"" ""finding"") possible)"
Display medical guidance for Urinary symptoms	Display medical guidance for Urinary symptoms	{adult}	"(active_condition (snomed_concept ""Urinary symptoms"" ""finding"") possible)"
Display medical guidance for Vaginal bleeding	Display medical guidance for Vaginal bleeding	{adult}	"(active_condition (snomed_concept ""Bleeding from vagina"" ""finding"") possible)"
Display medical guidance for Vaginal discharge	Display medical guidance for Vaginal discharge	{adult}	"(active_condition (snomed_concept ""Vaginal discharge"" ""finding"") possible)"
Display medical guidance for Vision symptoms	Display medical guidance for Vision symptoms	{adult}	"(active_condition (snomed_concept ""Visual symptoms"" ""finding"") possible)"
Display medical guidance for Vomiting	Display medical guidance for Vomiting	{adult}	"(active_condition (snomed_concept ""Finding of vomiting"" ""finding"") possible)"
Display medical guidance for Warts, genital	Display medical guidance for Warts, genital	{adult}	"(active_condition (snomed_concept ""Genital warts"" ""disorder"") possible)"
Display medical guidance for Weakness	Display medical guidance for Weakness	{adult}	"(active_condition (snomed_concept ""Asthenia"" ""finding"") possible)"
Display medical guidance for Weight loss	Display medical guidance for Weight loss	{adult}	"(active_condition (snomed_concept ""Unintentional weight loss"" ""finding"") possible)"
Display medical guidance for Wheeze	Display medical guidance for Wheeze	{adult}	"(active_condition (snomed_concept ""Wheezing"" ""finding"") possible)"
Display medical guidance for Wound, acute	Display medical guidance for Wound, acute	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Wound"" ""disorder"") (excluding (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bite - wound"" ""disorder""))))"
Display medical guidance for Wound, chronic	Display medical guidance for Wound, chronic	{adult}	"(active_condition (snomed_concept ""Chronic wound"" ""disorder"") possible)"
Check for urgent back pain conditions	Check for urgent back pain conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Backache"" ""finding""))"
Check for urgent vaginal bleeding conditions	Check for urgent vaginal bleeding conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abnormal vaginal bleeding"" ""finding""))"
Check for urgent collapse conditions	Check for urgent collapse conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Collapse"" ""finding""))"
Check for urgent weakness/tiredness conditions	Check for urgent weakness/tiredness conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Fatigue"" ""finding""))"
Check for urgent burn conditions	Check for urgent burn conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Burn"" ""disorder""))"
Measure Bloody Oxygen Saturation due to burns	Measure Bloody Oxygen Saturation due to burns	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Burn"" ""disorder""))"
Check for urgent seizure conditions	Check for urgent seizure conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Seizure"" ""finding""))"
Check for urgent constipation conditions	Check for urgent constipation conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Constipation"" ""finding""))"
Check for urgent anal conditions	Check for urgent anal conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Anal pain"" ""finding""))"
Check for urgent chest pain conditions	Check for urgent chest pain conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding""))"
Check for urgent acute Covid-19 conditions	Check for urgent acute Covid-19 conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Acute disease caused by severe acute respiratory syndrome coronavirus 2"" ""disorder""))"
Check for hypertensive emergency conditions	Check for hypertensive emergency conditions	{adult}	"(or (>= (measurement (snomed_concept ""Systolic blood pressure"" ""observable entity"") mmHg) 180) (>= (measurement (snomed_concept ""Diastolic blood pressure"" ""observable entity"") mmHg) 110))"
Check for urgent scalp conditions	Check for urgent scalp conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Scalp structure"" ""body structure"")))"
Check for urgent dental conditions	Check for urgent dental conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tooth, gum, and/or supporting structure"" ""body structure"")))"
Check for urgent skin colour change conditions	Check for urgent skin colour change conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Discoloration of skin"" ""finding""))"
Check for urgent urinary symptom conditions	Check for urgent urinary symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Urinary system finding"" ""finding""))"
Check for urgent ischaemic heart disease conditions	Check for urgent ischaemic heart disease conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ischemic heart disease"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value"")))"
Check for urgent ongoing Covid-19 symptoms	Check for urgent ongoing Covid-19 symptoms	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Disease caused by severe acute respiratory syndrome coronavirus 2"" ""disorder""))"
Check for urgent wheeze or tight chest conditions	Check for urgent wheeze or tight chest conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Wheezing"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Tight chest"" ""finding"")))"
Check for urgent nail symptom conditions	Check for urgent nail symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Nail unit structure"" ""body structure"")))"
Check for urgent postnatal conditions	Check for urgent postnatal conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Postnatal care status"" ""finding""))"
Check for urgent peripheral vascular disease conditions	Check for urgent peripheral vascular disease conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Peripheral vascular disease"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal aortic aneurysm"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value""))))"
Check for urgent low mood, stress and anxiety conditions	Check for urgent low mood, stress and anxiety conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Feeling unhappy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stress"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Anxiety"" ""finding"")))"
Check for urgent foot symptom conditions	Check for urgent foot symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Foot structure"" ""body structure"")))"
Check for urgent drug rash conditions	Check for urgent drug rash conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption caused by drug"" ""disorder""))"
Check for urgent nausea or vomiting conditions	Check for urgent nausea or vomiting conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")))"
Check for urgent dizziness conditions	Check for urgent dizziness conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding""))"
Check for urgent groin lump conditions	Check for urgent groin lump conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Groin mass"" ""finding""))"
Check for presence of Covid-19	Check for presence of Covid-19	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Disease caused by severe acute respiratory coronavirus 2 suspected"" ""situation""))"
Check for urgent leg symptom conditions	Check for urgent leg symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure"")))"
Check for urgent antenatal conditions	Check for urgent antenatal conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pregnancy"" ""finding""))"
Check for urgent abdominal pain conditions	Check for urgent abdominal pain conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding""))"
Check for urgent female genitalia conditions	Check for urgent female genitalia conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Female genitalia finding"" ""finding""))"
Check for urgent ear symptom conditions	Check for urgent ear symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Ear structure"" ""body structure"")))"
Check for urgent nose conditions	Check for urgent nose conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nose finding"" ""finding""))"
Check for urgent self-harm or suicide conditions	Check for urgent self-harm or suicide conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Self-injurious behavior"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Suicide"" ""event"")))"
Check for urgent eye or vision conditions	Check for urgent eye or vision conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eye / vision finding"" ""finding""))"
Check for urgent skin conditions with crusts or flaky skin	Check for urgent skin conditions with crusts or flaky skin	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Crust"" ""morphologic abnormality""))"
Check for Anaphylaxis	Check for Anaphylaxis	{adult}	"(diagnosis (snomed_concept ""Anaphylaxis"" ""disorder"") possible)"
Raise legs for anaphylaxis patient	Raise legs for anaphylaxis patient	{adult}	"(active_condition (snomed_concept ""Anaphylaxis"" ""disorder""))"
Administer oxygen for anaphylaxis patient	Administer oxygen for anaphylaxis patient	{adult}	"(active_condition (snomed_concept ""Anaphylaxis"" ""disorder""))"
Administer epinephrine for anaphylaxis patient	Administer epinephrine for anaphylaxis patient	{adult}	"(active_condition (snomed_concept ""Anaphylaxis"" ""disorder""))"
Administer sodium chloride 0.9% for anaphylaxis patient	Administer sodium chloride 0.9% for anaphylaxis patient	{adult}	"(active_condition (snomed_concept ""Anaphylaxis"" ""disorder""))"
Check for urgent arm or hand symptom conditions	Check for urgent arm or hand symptom conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Upper limb structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Hand structure"" ""body structure""))))"
Check for urgent neck pain conditions	Check for urgent neck pain conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Neck pain"" ""finding""))"
Check for urgent headache conditions	Check for urgent headache conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Headache"" ""finding""))"
Check for urgent face symptom conditions	Check for urgent face symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")))"
Check for urgent mouth or throat conditions	Check for urgent mouth or throat conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Structure of mouth and/or pharynx"" ""body structure"")))"
Check for urgent diarrhoea conditions	Check for urgent diarrhoea conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diarrhea"" ""finding""))"
Check for urgent cough/breathing conditions	Check for urgent cough/breathing conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Cough"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")))"
Check for urgent bite/sting conditions	Check for urgent bite/sting conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bite - wound"" ""disorder""))"
Check for snake bite	Check for snake bite	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bite - wound"" ""disorder"") (excluding (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Animal bite wound"" ""disorder""))))"
Check for urgent joint conditions	Check for urgent joint conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Joint structure"" ""body structure"")))"
Check for urgent skin symptom conditions	Check for urgent skin symptom conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Skin structure"" ""body structure"")))"
Check for urgent fever conditions	Check for urgent fever conditions	{adult}	"(active_condition (snomed_concept ""Fever"" ""finding""))"
Check for urgent skin ulcer and wound conditions	Check for urgent skin ulcer and wound conditions	{adult}	"(or (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Skin ulcer"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Wound, non-healed"" ""morphologic abnormality"")))"
Check for urgent skin lump conditions	Check for urgent skin lump conditions	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Mass of skin"" ""finding""))"
Measure lesion size	Measure lesion size	{adult}	"(finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Mass of skin"" ""finding""))"
