id	to_be_done_s_expression
Display medical guidance for Nail symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Nail symptoms"" ""/medical-resources/primary-care/adult.pdf#page=82"" ""/medical-resources/za/primary-care/adult/thumbnails/400/82.png""))"
Display medical guidance for Nausea	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Nausea"" ""/medical-resources/primary-care/adult.pdf#page=45"" ""/medical-resources/za/primary-care/adult/thumbnails/400/45.png""))"
Display medical guidance for Neck pain	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Neck pain"" ""/medical-resources/primary-care/adult.pdf#page=64"" ""/medical-resources/za/primary-care/adult/thumbnails/400/64.png""))"
Display medical guidance for Needlestick injury	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Needlestick injury"" ""/medical-resources/primary-care/adult.pdf#page=108"" ""/medical-resources/za/primary-care/adult/thumbnails/400/108.png""))"
Display medical guidance for Nose symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Nose symptoms"" ""/medical-resources/primary-care/adult.pdf#page=34"" ""/medical-resources/za/primary-care/adult/thumbnails/400/34.png""))"
Display medical guidance for Genital symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Genital symptoms"" ""/medical-resources/primary-care/adult.pdf#page=49"" ""/medical-resources/za/primary-care/adult/thumbnails/400/49.png""))"
Display medical guidance for Glucose	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Glucose"" ""/medical-resources/primary-care/adult.pdf#page=17"" ""/medical-resources/za/primary-care/adult/thumbnails/400/17.png""))"
Display medical guidance for Gum symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Gum symptoms"" ""/medical-resources/primary-care/adult.pdf#page=36"" ""/medical-resources/za/primary-care/adult/thumbnails/400/36.png""))"
Display medical guidance for Overweight patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Overweight patient"" ""/medical-resources/primary-care/adult.pdf#page=127"" ""/medical-resources/za/primary-care/adult/thumbnails/400/127.png""))"
Display medical guidance for Hair loss	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Hair loss"" ""/medical-resources/primary-care/adult.pdf#page=81"" ""/medical-resources/za/primary-care/adult/thumbnails/400/81.png""))"
Display medical guidance for Hand symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Hand symptoms"" ""/medical-resources/primary-care/adult.pdf#page=64"" ""/medical-resources/za/primary-care/adult/thumbnails/400/64.png""))"
Display medical guidance for Headache	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Headache"" ""/medical-resources/primary-care/adult.pdf#page=30"" ""/medical-resources/za/primary-care/adult/thumbnails/400/30.png""))"
Display medical guidance for Hearing symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Hearing symptoms"" ""/medical-resources/primary-care/adult.pdf#page=33"" ""/medical-resources/za/primary-care/adult/thumbnails/400/33.png""))"
Display medical guidance for Heartburn	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Heartburn"" ""/medical-resources/primary-care/adult.pdf#page=44"" ""/medical-resources/za/primary-care/adult/thumbnails/400/44.png""))"
Display medical guidance for Pain, chronic	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Pain, chronic"" ""/medical-resources/primary-care/adult.pdf#page=61"" ""/medical-resources/za/primary-care/adult/thumbnails/400/61.png""))"
Display medical guidance for Pallor	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Pallor"" ""/medical-resources/primary-care/adult.pdf#page=27"" ""/medical-resources/za/primary-care/adult/thumbnails/400/27.png""))"
Display medical guidance for Pimples	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Pimples"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Injured patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Injured patient"" ""/medical-resources/primary-care/adult.pdf#page=18"" ""/medical-resources/za/primary-care/adult/thumbnails/400/18.png""))"
Display medical guidance for Itch	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Itch"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Rape	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Rape"" ""/medical-resources/primary-care/adult.pdf#page=88"" ""/medical-resources/za/primary-care/adult/thumbnails/400/88.png""))"
Display medical guidance for Rash	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Rash"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Respiratory arrest	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Respiratory arrest"" ""/medical-resources/primary-care/adult.pdf#page=14"" ""/medical-resources/za/primary-care/adult/thumbnails/400/14.png""))"
Display medical guidance for Jaundice	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Jaundice"" ""/medical-resources/primary-care/adult.pdf#page=79"" ""/medical-resources/za/primary-care/adult/thumbnails/400/79.png""))"
Display medical guidance for Joint symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Joint symptoms"" ""/medical-resources/primary-care/adult.pdf#page=62"" ""/medical-resources/za/primary-care/adult/thumbnails/400/62.png""))"
Display medical guidance for Leg symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Leg symptoms"" ""/medical-resources/primary-care/adult.pdf#page=65"" ""/medical-resources/za/primary-care/adult/thumbnails/400/65.png""))"
Display medical guidance for Groin mass	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Lump, neck/axilla/groin"" ""/medical-resources/primary-care/adult.pdf#page=25"" ""/medical-resources/za/primary-care/adult/thumbnails/400/25.png""))"
Display medical guidance for Mass of axilla	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Lump, neck/axilla/groin"" ""/medical-resources/primary-care/adult.pdf#page=25"" ""/medical-resources/za/primary-care/adult/thumbnails/400/25.png""))"
Display medical guidance for Mass of neck	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Lump, neck/axilla/groin"" ""/medical-resources/primary-care/adult.pdf#page=25"" ""/medical-resources/za/primary-care/adult/thumbnails/400/25.png""))"
Display medical guidance for Scalp symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Scalp symptoms"" ""/medical-resources/primary-care/adult.pdf#page=80"" ""/medical-resources/za/primary-care/adult/thumbnails/400/80.png""))"
Display medical guidance for Scrotal symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Scrotal symptoms"" ""/medical-resources/primary-care/adult.pdf#page=49"" ""/medical-resources/za/primary-care/adult/thumbnails/400/49.png""))"
Display medical guidance for Seizures	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Seizures"" ""/medical-resources/primary-care/adult.pdf#page=19"" ""/medical-resources/za/primary-care/adult/thumbnails/400/19.png""))"
Display medical guidance for Self-harm	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Self-harm"" ""/medical-resources/primary-care/adult.pdf#page=83"" ""/medical-resources/za/primary-care/adult/thumbnails/400/83.png""))"
Display medical guidance for Sexual problems	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Sexual problems"" ""/medical-resources/primary-care/adult.pdf#page=58"" ""/medical-resources/za/primary-care/adult/thumbnails/400/58.png""))"
Display medical guidance for Sexually transmitted infections	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Sexually transmitted infections"" ""/medical-resources/primary-care/adult.pdf#page=49"" ""/medical-resources/za/primary-care/adult/thumbnails/400/49.png""))"
Display medical guidance for Skin symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Skin symptoms"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Sleeping difficulty	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Sleeping difficulty"" ""/medical-resources/primary-care/adult.pdf#page=87"" ""/medical-resources/za/primary-care/adult/thumbnails/400/87.png""))"
Display medical guidance for Smoking	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Smoking"" ""/medical-resources/primary-care/adult.pdf#page=141"" ""/medical-resources/za/primary-care/adult/thumbnails/400/141.png""))"
Display medical guidance for Stings	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Stings"" ""/medical-resources/primary-care/adult.pdf#page=22"" ""/medical-resources/za/primary-care/adult/thumbnails/400/22.png""))"
Display medical guidance for Stress	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Stress"" ""/medical-resources/primary-care/adult.pdf#page=86"" ""/medical-resources/za/primary-care/adult/thumbnails/400/86.png""))"
Display medical guidance for Suicidal patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Suicidal patient"" ""/medical-resources/primary-care/adult.pdf#page=83"" ""/medical-resources/za/primary-care/adult/thumbnails/400/83.png""))"
Display medical guidance for Syphilis	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Syphilis"" ""/medical-resources/primary-care/adult.pdf#page=53"" ""/medical-resources/za/primary-care/adult/thumbnails/400/53.png""))"
Display medical guidance for Tasting difficulty	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Tasting difficulty"" ""/medical-resources/primary-care/adult.pdf#page=35"" ""/medical-resources/za/primary-care/adult/thumbnails/400/35.png""))"
Display medical guidance for Teeth symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Teeth symptoms"" ""/medical-resources/primary-care/adult.pdf#page=36"" ""/medical-resources/za/primary-care/adult/thumbnails/400/36.png""))"
Display medical guidance for Throat symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Throat symptoms"" ""/medical-resources/primary-care/adult.pdf#page=35"" ""/medical-resources/za/primary-care/adult/thumbnails/400/35.png""))"
Display medical guidance for Ulcer, genital	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Ulcer, genital"" ""/medical-resources/primary-care/adult.pdf#page=49"" ""/medical-resources/za/primary-care/adult/thumbnails/400/49.png""))"
Display medical guidance for Ulcer, skin	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Ulcer, skin"" ""/medical-resources/primary-care/adult.pdf#page=67"" ""/medical-resources/za/primary-care/adult/thumbnails/400/67.png""))"
Display medical guidance for Unconscious patient	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Unconscious patient"" ""/medical-resources/primary-care/adult.pdf#page=16"" ""/medical-resources/za/primary-care/adult/thumbnails/400/16.png""))"
Display medical guidance for Urinary symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Urinary symptoms"" ""/medical-resources/primary-care/adult.pdf#page=59"" ""/medical-resources/za/primary-care/adult/thumbnails/400/59.png""))"
Display medical guidance for Vaginal bleeding	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Vaginal bleeding"" ""/medical-resources/primary-care/adult.pdf#page=57"" ""/medical-resources/za/primary-care/adult/thumbnails/400/57.png""))"
Display medical guidance for Vaginal discharge	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Vaginal discharge"" ""/medical-resources/primary-care/adult.pdf#page=49"" ""/medical-resources/za/primary-care/adult/thumbnails/400/49.png""))"
Display medical guidance for Vision symptoms	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Vision symptoms"" ""/medical-resources/primary-care/adult.pdf#page=31"" ""/medical-resources/za/primary-care/adult/thumbnails/400/31.png""))"
Display medical guidance for Vomiting	"(procedure (snomed_concept ""Procedure"" ""procedure"") (snomed_concept ""Reference documentation"" ""qualifier value"") (link ""APC 2023 — Vomiting"" ""/medical-resources/primary-care/adult.pdf#page=45"" ""/medical-resources/za/primary-care/adult/thumbnails/400/45.png""))"
